Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,您的应用是否会收集或分享任何必须披露的用户数据类型？
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,您的应用收集的所有用户数据在传输过程中是否会加密？
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,您的应用支持以下哪些账号创建方法？请选择所有适用选项 / 用户名和密码
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,您的应用支持以下哪些账号创建方法？请选择所有适用选项 / 用户名和其他身份验证方法
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,您的应用支持以下哪些账号创建方法？请选择所有适用选项 / 用户名、密码和其他身份验证方法
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,您的应用支持以下哪些账号创建方法？请选择所有适用选项 / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,您的应用支持以下哪些账号创建方法？请选择所有适用选项 / 其他
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,您的应用支持以下哪些账号创建方法？请选择所有适用选项 / 我的应用不允许用户创建账号
PSL_ACCOUNT_DELETION_URL,,https://zbbsdsb.github.io/Thothapp/privacy.html#contact,MAYBE_REQUIRED,添加一个链接，让用户可通过该链接要求删除账号和相关数据 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,true,SINGLE_CHOICE,您是否为用户提供了请求删除其数据的方法？ / 是
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,您是否为用户提供了请求删除其数据的方法？ / 否
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,您是否为用户提供了请求删除其数据的方法？ / 否，但系统会在 90 天内自动删除用户数据
PSL_DATA_DELETION_URL,,https://zbbsdsb.github.io/Thothapp/privacy.html#contact,MAYBE_REQUIRED,用于要求删除数据的网址
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,仅在您已声明应用的目标年龄段包括儿童或您已选择加入亲子同乐计划的情况下，您才需要回答此问题。如果您符合上述任一条件，则必须遵循 Google Play 家庭政策 (https://support.google.com/googleplay/android-developer/answer/9893335)。您想让用户通过商品详情的“数据安全”部分了解此承诺吗？
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,您的应用是否已按照移动应用安全性评估 (MASA) 框架成功完成独立的安全性审核？仅当审核结果仍然有效时，才能回答“是”。
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,要在商品详情中显示此徽章吗？
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,用户是否可以使用在应用之外创建的账号登录您的应用？
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_WITH_OUTSIDE_APP_ID,,MULTIPLE_CHOICE,这些账号是如何创建的？ / 应用外身份识别（例如 SIM 卡绑定、服务订阅）
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_THROUGH_EMPLOYMENT_OR_ENTERPRISE_ACCOUNT,,MULTIPLE_CHOICE,这些账号是如何创建的？ / 通过工作账号或企业账号
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_OUTSIDE_APP_ACCOUNT_TYPE_OTHER,,MULTIPLE_CHOICE,这些账号是如何创建的？ / 其他
